date,return,market_regime,n_positions,cumulative
2022-03-15,0.005159039922656009,BEAR,50,1.3984273265374123
2022-03-16,-0.00031383744255022213,BEAR,50,1.3979884476816595
2022-03-17,0.011456485175366918,BEAR,50,1.4140044816078587
2022-03-18,-0.00044365400000843073,BEAR,50,1.4133771528635635
2022-03-21,0.007384628174014312,BEAR,50,1.423814417607108
2022-03-22,0.0002289046130512682,BEAR,50,1.4241403352954272
2022-03-23,0.00046993665993772275,BEAR,50,1.4248095910478784
2022-03-24,0.007635172653028217,BEAR,50,1.4356882582732193
2022-03-25,0.009219540029747961,BEAR,50,1.4489246436406082
2022-03-28,-0.001446733125288442,BEAR,53,1.4468284363626067
2022-03-29,0.005769193403121289,BEAR,53,1.455175469433118
2022-03-30,0.0035839834507142613,BEAR,53,1.4603907942334518
2022-03-31,-0.0033140101580779084,BEAR,53,1.4555510443065987
2022-04-01,0.004539662797294565,BEAR,53,1.4621587552320008
2022-04-04,-0.0014963591924624167,BEAR,54,1.45997084053777
2022-04-05,-0.003221609720180643,BEAR,54,1.4552673842867134
2022-04-06,0.0019374124179930717,BEAR,54,1.458086837388531
2022-04-07,0.005403292258108383,BEAR,54,1.4659653067086422
2022-04-08,0.00422350996858809,BEAR,54,1.4721568257951305
2022-04-11,-0.003357119952209875,BEAR,54,1.4672146187424717
2022-04-12,0.0022701013317479625,BEAR,54,1.470545344602439
2022-04-13,0.0021315990521795017,BEAR,54,1.4736799576651807
2022-04-14,0.00296152764099012,BEAR,54,1.4780443015937794
2022-04-18,-0.0009971262039783753,BEAR,54,1.4765705048900193
2022-04-19,0.004544678679598018,BEAR,53,1.483281043382516
2022-04-20,0.005431879516337574,BEAR,53,1.4913380472990374
2022-04-21,-0.0024869274591018823,BEAR,53,1.4876291977584062
2022-04-22,-0.013025343580319072,BEAR,53,1.4682523163374885
2022-04-25,-0.004758630887010243,BEAR,53,1.4612654455150407
2022-04-26,-0.010760865717033694,BEAR,50,1.4455409642789119
2022-04-27,0.0038767209824805836,BEAR,50,1.451144923266167
2022-04-28,0.010692177736498065,BEAR,50,1.4666608227071458
2022-04-29,-0.017616572037890667,BEAR,50,1.4408232866687734
2022-05-02,-0.004031847721684419,BEAR,50,1.435014106583068
2022-05-03,0.004244689314442971,BEAR,55,1.441105295627356
2022-05-04,0.014029542875292237,BEAR,55,1.461323344160171
2022-05-05,-0.009457598190789118,BEAR,55,1.4475027351442837
2022-05-06,0.002643194383328512,BEAR,55,1.4513287662436698
2022-05-09,-0.010911870163312654,BEAR,55,1.4354920551821382
2022-05-10,-0.004021285708973123,BEAR,38,1.4297195314952897
2022-05-11,0.005752238916838972,BEAR,38,1.4379436198245217
2022-05-12,0.0004923393412404329,BEAR,38,1.4386515760390468
2022-05-13,0.007585128906684194,BEAR,38,1.4495639336951074
2022-05-16,0.00541200324780677,BEAR,38,1.4574089784121687
2022-05-17,0.007713827319348709,BEAR,52,1.4686511796053086
2022-05-18,-0.013763509028292473,BEAR,52,1.4484373858353985
2022-05-19,-0.00264459657814918,BEAR,52,1.444606853281155
2022-05-20,0.002590652680551586,BEAR,52,1.4483493278979507
2022-05-23,0.008896741567406495,BEAR,52,1.4612349175675854
2022-05-24,0.008774972402584512,BEAR,54,1.4740572136429337
2022-05-25,0.0032303821704029578,BEAR,54,1.4788189817840398
2022-05-26,0.0024220967272561857,BEAR,54,1.482400824400023
2022-05-27,0.005957381648998493,BEAR,54,1.491232051867764
2022-05-31,-0.00627252359457359,BEAR,54,1.481878263637439
2022-06-01,-0.0011825525368051749,BEAR,55,1.4801258647375382
2022-06-02,0.002030039095370076,BEAR,55,1.4831305781090238
2022-06-03,-0.002134070025357677,BEAR,55,1.4799654735985899
2022-06-06,0.0017565825963404779,BEAR,55,1.4825651551926977
2022-06-07,0.0072394944462313765,BEAR,55,1.4932981773998912
2022-06-08,-0.00955388641172558,BEAR,56,1.4790313762341758
2022-06-09,-0.014440487809465281,BEAR,56,1.4576734416758494
2022-06-10,-0.007259405968955992,BEAR,56,1.4470915983925592
2022-06-13,-0.02658063679221466,BEAR,56,1.4086269822106212
2022-06-14,-0.010598543913944061,BEAR,56,1.3936975872812953
2022-06-15,0.0007846386790991965,BEAR,39,1.3947911363152437
2022-06-16,-0.013710882719478132,BEAR,39,1.3756673186270576
2022-06-17,-0.0018392289026535106,BEAR,39,1.3731371515342028
2022-06-21,0.013184696146996251,BEAR,39,1.3912415476453333
2022-06-22,-0.0008660063442088217,BEAR,39,1.3900367236387454
2022-06-23,0.006461108561921421,BEAR,35,1.3990179018152331
2022-06-24,0.009623267631445189,BEAR,35,1.412481025505584
2022-06-27,0.004808798502745895,BEAR,35,1.4192733621461922
2022-06-28,-0.005448533523543352,BEAR,35,1.4115404036534664
2022-06-29,0.0005213719689615135,BEAR,35,1.4122763412529877
2022-06-30,-0.004013490958736787,BEAR,37,1.406608182926131
2022-07-01,0.00594628582828193,BEAR,37,1.41497227723021
2022-07-05,-0.008611457366520326,BEAR,37,1.4027873037900338
2022-07-06,-0.0007786896250398215,BEAR,37,1.401694967870435
2022-07-07,0.003278225720088646,BEAR,37,1.4062900403658267
2022-07-08,-0.0006555575767548818,BEAR,39,1.40536813627475
2022-07-11,-0.0044063108068376515,BEAR,39,1.3991756474682975
2022-07-12,-0.005617893990029779,BEAR,39,1.3913152270073894
2022-07-13,-0.006285561742483584,BEAR,39,1.382570029244777
2022-07-14,-0.004300446312114099,BEAR,39,1.3766243610612716
2022-07-15,0.007978588584885512,BEAR,40,1.3876078804741103
2022-07-18,-0.010885455926123166,BEAR,40,1.3725031360484683
2022-07-19,0.004727375822030878,BEAR,40,1.3789914741894855
2022-07-20,-0.0054852704662090405,BEAR,40,1.3714273329829598
2022-07-21,-0.0006555300829034119,BEAR,40,1.3705283211096735
2022-07-22,0.0013525723362219555,BEAR,36,1.3723820598028151
2022-07-25,0.0034229528507928137,BEAR,36,1.377079658886794
2022-07-26,0.003974103695137732,BEAR,36,1.382552316247675
2022-07-27,0.004394097536083191,BEAR,36,1.388627385974005
2022-07-28,0.0007724950283512717,BEAR,36,1.3897000937259023
2022-07-29,0.001862754769472402,BEAR,50,1.3922887642036266
2022-08-01,-0.005691680154416403,BEAR,50,1.3843643018751919
2022-08-02,-0.0023113203589307436,BEAR,50,1.3811645924800908
