date,market_regime,strategy,n_stocks,top_stocks
2020-09-16,BEAR,VALUE_ROTATION,0,
2020-09-16,BEAR,BREAKOUT_CAPTURE,0,
2020-09-16,BEAR,MEAN_REVERSION,0,
2020-09-17,BEAR,MOMENTUM_SURGE,0,
2020-09-17,BEAR,QUALITY_DEFENSIVE,0,
2020-09-17,BEAR,VALUE_ROTATION,0,
2020-09-17,BEAR,BREAKOUT_CAPTURE,0,
2020-09-17,BEAR,MEAN_REVERSION,0,
2020-09-18,BEAR,MOMENTUM_SURGE,0,
2020-09-18,BEAR,QUALITY_DEFENSIVE,0,
2020-09-18,BEAR,VALUE_ROTATION,0,
2020-09-18,BEAR,BREAKOUT_CAPTURE,0,
2020-09-18,BEAR,MEAN_REVERSION,0,
2020-09-21,BEAR,MOMENTUM_SURGE,0,
2020-09-21,BEAR,QUALITY_DEFENSIVE,0,
2020-09-21,BEAR,VALUE_ROTATION,0,
2020-09-21,BEAR,BREAKOUT_CAPTURE,0,
2020-09-21,BEAR,MEAN_REVERSION,0,
2020-09-22,BEAR,MOMENTUM_SURGE,0,
2020-09-22,BEAR,QUALITY_DEFENSIVE,0,
2020-09-22,BEAR,VALUE_ROTATION,0,
2020-09-22,BEAR,BREAKOUT_CAPTURE,0,
2020-09-22,BEAR,MEAN_REVERSION,0,
2020-09-23,BEAR,MOMENTUM_SURGE,0,
2020-09-23,BEAR,QUALITY_DEFENSIVE,0,
2020-09-23,BEAR,VALUE_ROTATION,0,
2020-09-23,BEAR,BREAKOUT_CAPTURE,0,
2020-09-23,BEAR,MEAN_REVERSION,0,
2020-09-24,BEAR,MOMENTUM_SURGE,0,
2020-09-24,BEAR,QUALITY_DEFENSIVE,0,
2020-09-24,BEAR,VALUE_ROTATION,0,
2020-09-24,BEAR,BREAKOUT_CAPTURE,0,
2020-09-24,BEAR,MEAN_REVERSION,0,
2020-09-25,BEAR,MOMENTUM_SURGE,0,
2020-09-25,BEAR,QUALITY_DEFENSIVE,0,
2020-09-25,BEAR,VALUE_ROTATION,0,
2020-09-25,BEAR,BREAKOUT_CAPTURE,0,
2020-09-25,BEAR,MEAN_REVERSION,0,
2020-09-28,BEAR,MOMENTUM_SURGE,0,
2020-09-28,BEAR,QUALITY_DEFENSIVE,0,
2020-09-28,BEAR,VALUE_ROTATION,0,
2020-09-28,BEAR,BREAKOUT_CAPTURE,0,
2020-09-28,BEAR,MEAN_REVERSION,0,
2020-09-29,BEAR,MOMENTUM_SURGE,0,
2020-09-29,BEAR,QUALITY_DEFENSIVE,0,
2020-09-29,BEAR,VALUE_ROTATION,0,
2020-09-29,BEAR,BREAKOUT_CAPTURE,0,
2020-09-29,BEAR,MEAN_REVERSION,0,
2020-09-30,BEAR,MOMENTUM_SURGE,0,
2020-09-30,BEAR,QUALITY_DEFENSIVE,0,
2020-09-30,BEAR,VALUE_ROTATION,0,
2020-09-30,BEAR,BREAKOUT_CAPTURE,0,
2020-09-30,BEAR,MEAN_REVERSION,0,
2020-10-01,BEAR,MOMENTUM_SURGE,0,
2020-10-01,BEAR,QUALITY_DEFENSIVE,0,
2020-10-01,BEAR,VALUE_ROTATION,0,
2020-10-01,BEAR,BREAKOUT_CAPTURE,0,
2020-10-01,BEAR,MEAN_REVERSION,0,
2020-10-02,BEAR,MOMENTUM_SURGE,0,
2020-10-02,BEAR,QUALITY_DEFENSIVE,0,
2020-10-02,BEAR,VALUE_ROTATION,0,
2020-10-02,BEAR,BREAKOUT_CAPTURE,0,
2020-10-02,BEAR,MEAN_REVERSION,0,
2020-10-05,BEAR,MOMENTUM_SURGE,0,
2020-10-05,BEAR,QUALITY_DEFENSIVE,0,
2020-10-05,BEAR,VALUE_ROTATION,0,
2020-10-05,BEAR,BREAKOUT_CAPTURE,0,
2020-10-05,BEAR,MEAN_REVERSION,0,
2020-10-06,BEAR,MOMENTUM_SURGE,0,
2020-10-06,BEAR,QUALITY_DEFENSIVE,0,
2020-10-06,BEAR,VALUE_ROTATION,0,
2020-10-06,BEAR,BREAKOUT_CAPTURE,0,
2020-10-06,BEAR,MEAN_REVERSION,0,
2020-10-07,BEAR,MOMENTUM_SURGE,0,
2020-10-07,BEAR,QUALITY_DEFENSIVE,0,
2020-10-07,BEAR,VALUE_ROTATION,0,
2020-10-07,BEAR,BREAKOUT_CAPTURE,0,
2020-10-07,BEAR,MEAN_REVERSION,0,
2020-10-08,BEAR,MOMENTUM_SURGE,0,
2020-10-08,BEAR,QUALITY_DEFENSIVE,0,
2020-10-08,BEAR,VALUE_ROTATION,0,
2020-10-08,BEAR,BREAKOUT_CAPTURE,0,
2020-10-08,BEAR,MEAN_REVERSION,0,
2020-10-09,BEAR,MOMENTUM_SURGE,0,
2020-10-09,BEAR,QUALITY_DEFENSIVE,0,
2020-10-09,BEAR,VALUE_ROTATION,0,
2020-10-09,BEAR,BREAKOUT_CAPTURE,0,
2020-10-09,BEAR,MEAN_REVERSION,0,
2020-10-12,BEAR,MOMENTUM_SURGE,0,
2020-10-12,BEAR,QUALITY_DEFENSIVE,0,
2020-10-12,BEAR,VALUE_ROTATION,0,
2020-10-12,BEAR,BREAKOUT_CAPTURE,0,
2020-10-12,BEAR,MEAN_REVERSION,0,
2020-10-13,BEAR,MOMENTUM_SURGE,0,
2020-10-13,BEAR,QUALITY_DEFENSIVE,0,
2020-10-13,BEAR,VALUE_ROTATION,0,
2020-10-13,BEAR,BREAKOUT_CAPTURE,0,
2020-10-13,BEAR,MEAN_REVERSION,0,
2020-10-14,BEAR,MOMENTUM_SURGE,0,
2020-10-14,BEAR,QUALITY_DEFENSIVE,0,
2020-10-14,BEAR,VALUE_ROTATION,0,
2020-10-14,BEAR,BREAKOUT_CAPTURE,0,
2020-10-14,BEAR,MEAN_REVERSION,0,
2020-10-15,BEAR,MOMENTUM_SURGE,0,
2020-10-15,BEAR,QUALITY_DEFENSIVE,0,
2020-10-15,BEAR,VALUE_ROTATION,0,
2020-10-15,BEAR,BREAKOUT_CAPTURE,0,
2020-10-15,BEAR,MEAN_REVERSION,0,
2020-10-16,BEAR,MOMENTUM_SURGE,0,
2020-10-16,BEAR,QUALITY_DEFENSIVE,0,
2020-10-16,BEAR,VALUE_ROTATION,0,
2020-10-16,BEAR,BREAKOUT_CAPTURE,0,
2020-10-16,BEAR,MEAN_REVERSION,0,
2020-10-19,BEAR,MOMENTUM_SURGE,0,
2020-10-19,BEAR,QUALITY_DEFENSIVE,0,
2020-10-19,BEAR,VALUE_ROTATION,0,
2020-10-19,BEAR,BREAKOUT_CAPTURE,0,
2020-10-19,BEAR,MEAN_REVERSION,0,
2020-10-20,BEAR,MOMENTUM_SURGE,0,
2020-10-20,BEAR,QUALITY_DEFENSIVE,0,
2020-10-20,BEAR,VALUE_ROTATION,0,
2020-10-20,BEAR,BREAKOUT_CAPTURE,0,
2020-10-20,BEAR,MEAN_REVERSION,0,
