Date,regime
2018-10-29,RANGE
2018-10-30,RANGE
2018-10-31,RANGE
2018-11-01,RANGE
2018-11-02,RANGE
2018-11-05,RANGE
2018-11-06,RANGE
2018-11-07,RANGE
2018-11-08,BULL
2018-11-09,BULL
2018-11-12,BULL
2018-11-13,RANGE
2018-11-14,RANGE
2018-11-15,RANGE
2018-11-16,RANGE
2018-11-19,RANGE
2018-11-20,RANGE
2018-11-21,RANGE
2018-11-23,RANGE
2018-11-26,RANGE
2018-11-27,RANGE
2018-11-28,RANGE
2018-11-29,BULL
2018-11-30,BULL
2018-12-03,BULL
2018-12-04,BULL
2018-12-06,RANGE
2018-12-07,RANGE
2018-12-10,RANGE
2018-12-11,RANGE
2018-12-12,RANGE
2018-12-13,RANGE
2018-12-14,RANGE
2018-12-17,RANGE
2018-12-18,RANGE
2018-12-19,RANGE
2018-12-20,RANGE
2018-12-21,BEAR
2018-12-24,BEAR
2018-12-26,BEAR
2018-12-27,BEAR
2018-12-28,BEAR
2018-12-31,BEAR
2019-01-02,BEAR
2019-01-03,BEAR
2019-01-04,BEAR
2019-01-07,BEAR
2019-01-08,RANGE
2019-01-09,RANGE
2019-01-10,RANGE
2019-01-11,RANGE
2019-01-14,RANGE
2019-01-15,RANGE
2019-01-16,BULL
2019-01-17,BULL
2019-01-18,BULL
2019-01-22,BULL
2019-01-23,BULL
2019-01-24,BULL
2019-01-25,BULL
2019-01-28,BULL
2019-01-29,BULL
2019-01-30,BULL
2019-01-31,BULL
2019-02-01,BULL
2019-02-04,BULL
2019-02-05,BULL
2019-02-06,BULL
2019-02-07,BULL
2019-02-08,BULL
2019-02-11,BULL
2019-02-12,BULL
2019-02-13,BULL
2019-02-14,BULL
2019-02-15,BULL
2019-02-19,BULL
2019-02-20,BULL
2019-02-21,BULL
2019-02-22,BULL
2019-02-25,BULL
2019-02-26,BULL
2019-02-27,BULL
2019-02-28,BULL
2019-03-01,BULL
2019-03-04,BULL
2019-03-05,BULL
2019-03-06,BULL
2019-03-07,BULL
2019-03-08,BULL
2019-03-11,BULL
2019-03-12,BULL
2019-03-13,BULL
2019-03-14,BULL
2019-03-15,BULL
2019-03-18,BULL
2019-03-19,BULL
2019-03-20,BULL
2019-03-21,BULL
2019-03-22,BULL
2019-03-25,BULL
2019-03-26,BULL
2019-03-27,BULL
2019-03-28,BULL
2019-03-29,BULL
2019-04-01,BULL
2019-04-02,BULL
2019-04-03,BULL
2019-04-04,BULL
2019-04-05,BULL
2019-04-08,BULL
2019-04-09,BULL
2019-04-10,BULL
2019-04-11,BULL
2019-04-12,BULL
2019-04-15,BULL
2019-04-16,BULL
2019-04-17,BULL
2019-04-18,BULL
2019-04-22,BULL
2019-04-23,BULL
2019-04-24,BULL
2019-04-25,BULL
2019-04-26,BULL
2019-04-29,BULL
2019-04-30,BULL
2019-05-01,BULL
2019-05-02,BULL
2019-05-03,BULL
2019-05-06,BULL
2019-05-07,BULL
2019-05-08,RANGE
2019-05-09,RANGE
2019-05-10,RANGE
2019-05-13,RANGE
2019-05-14,RANGE
2019-05-15,RANGE
2019-05-16,RANGE
2019-05-17,RANGE
2019-05-20,RANGE
2019-05-21,RANGE
2019-05-22,RANGE
2019-05-23,RANGE
2019-05-24,RANGE
2019-05-28,RANGE
2019-05-29,RANGE
2019-05-30,RANGE
2019-05-31,RANGE
2019-06-03,RANGE
2019-06-04,RANGE
2019-06-05,RANGE
2019-06-06,RANGE
2019-06-07,RANGE
2019-06-10,BULL
2019-06-11,BULL
2019-06-12,BULL
2019-06-13,BULL
2019-06-14,BULL
2019-06-17,BULL
2019-06-18,BULL
2019-06-19,BULL
2019-06-20,BULL
2019-06-21,BULL
2019-06-24,BULL
2019-06-25,BULL
2019-06-26,BULL
2019-06-27,BULL
2019-06-28,BULL
2019-07-01,BULL
2019-07-02,BULL
2019-07-03,BULL
2019-07-05,BULL
2019-07-08,BULL
2019-07-09,BULL
2019-07-10,BULL
2019-07-11,BULL
2019-07-12,BULL
2019-07-15,BULL
2019-07-16,BULL
2019-07-17,BULL
2019-07-18,BULL
2019-07-19,BULL
2019-07-22,BULL
2019-07-23,BULL
2019-07-24,BULL
2019-07-25,BULL
2019-07-26,BULL
2019-07-29,BULL
2019-07-30,BULL
2019-07-31,BULL
2019-08-01,BULL
2019-08-02,RANGE
2019-08-05,RANGE
2019-08-06,BEAR
2019-08-07,BEAR
2019-08-08,BEAR
2019-08-09,RANGE
2019-08-12,RANGE
2019-08-13,RANGE
2019-08-14,RANGE
2019-08-15,RANGE
2019-08-16,RANGE
2019-08-19,RANGE
2019-08-20,RANGE
2019-08-21,RANGE
2019-08-22,RANGE
2019-08-23,RANGE
2019-08-26,RANGE
2019-08-27,RANGE
2019-08-28,RANGE
2019-08-29,RANGE
2019-08-30,RANGE
2019-09-03,RANGE
2019-09-04,RANGE
2019-09-05,BULL
2019-09-06,BULL
2019-09-09,BULL
2019-09-10,BULL
2019-09-11,BULL
2019-09-12,BULL
2019-09-13,BULL
2019-09-16,BULL
2019-09-17,BULL
2019-09-18,BULL
2019-09-19,BULL
2019-09-20,BULL
2019-09-23,BULL
2019-09-24,BULL
2019-09-25,BULL
2019-09-26,BULL
2019-09-27,BULL
2019-09-30,BULL
2019-10-01,BULL
2019-10-02,BULL
2019-10-03,RANGE
2019-10-04,RANGE
2019-10-07,RANGE
2019-10-08,RANGE
2019-10-09,RANGE
2019-10-10,RANGE
2019-10-11,RANGE
2019-10-14,RANGE
2019-10-15,RANGE
2019-10-16,RANGE
2019-10-17,RANGE
2019-10-18,RANGE
